subject,area_real,dias_legales,urgencia
Actualización de datos de contribuyente y cambio de domicilio fiscal,Rentas y Administración,60,Baja
Queja por ruidos molestos excesivos de la discoteca local en la Av. Lampa,Licencias y Fiscalización,20,Alta
Pared agrietada de casona antigua con grave riesgo de colapso en el jirón Cuzco,Defensa Civil,7,Alta
Licencia de habilitación urbana y subdivisión de lote multifamiliar,Desarrollo Urbano,45,Baja
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,35,Media
Actualización de datos de contribuyente y cambio de domicilio fiscal,Rentas y Administración,60,Baja
Obstrucción de pasadizos de evacuación en galería comercial del jirón Grau,Defensa Civil,10,Alta
Solicitud de donación de plantones de árboles para campaña de arborización,Medio Ambiente,65,Baja
Derrumbe parcial de vereda pública frente a la casa 587 de la calle Huallaga,Desarrollo Urbano,20,Alta
Queja por ruidos molestos excesivos de la discoteca local en la Av. Grau,Licencias y Fiscalización,10,Alta
Acumulación de basura y residuos sólidos en la esquina del parque de la calle Puno,Medio Ambiente,15,Alta
Obstrucción de pasadizos de evacuación en galería comercial del jirón La Unión,Defensa Civil,20,Alta
Árbol seco y carcomido a punto de caer sobre la vereda frente al número 696,Medio Ambiente,8,Alta
Fiscalización de restaurante por condiciones insalubres y olores fuertes en Huancavelica,Licencias y Fiscalización,15,Alta
Inspección técnica de seguridad en edificaciones ITSE de local comercial,Defensa Civil,45,Baja
Pago de impuesto de alcabala por compra de departamento en calle 28 de Julio,Rentas y Administración,40,Baja
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,30,Media
Consulta sobre descuentos y beneficios para el pronto pago de arbitrios,Rentas y Administración,53,Baja
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,35,Media
Instalación de letrero publicitario comercial sin autorización municipal,Licencias y Fiscalización,55,Baja
Establecimiento educativo no cuenta con extintores ni señalización de evacuación,Defensa Civil,10,Alta
Árbol seco y carcomido a punto de caer sobre la vereda frente al número 750,Medio Ambiente,14,Alta
Simulacro municipal y capacitación de brigadas de Defensa Civil en San Martín,Defensa Civil,65,Baja
Queja por ruidos molestos excesivos de la discoteca local en la Av. Lampa,Licencias y Fiscalización,15,Alta
Estructura metálica de cartel publicitario debilitada por el viento con riesgo de caída,Defensa Civil,14,Alta
Construcción clandestina vecinal que invade retiro municipal en San Martín,Desarrollo Urbano,6,Alta
Plaga de roedores en los jardines públicos cercanos a la calle Lampa,Medio Ambiente,10,Alta
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,30,Media
Construcción clandestina vecinal que invade retiro municipal en Bolognesi,Desarrollo Urbano,9,Alta
Establecimiento educativo no cuenta con extintores ni señalización de evacuación,Defensa Civil,20,Alta
Pago de impuesto de alcabala por compra de departamento en calle Puno,Rentas y Administración,45,Baja
Limpieza de desmonte y tierra acumulada en la berma central de la Av. Lima,Medio Ambiente,30,Media
Limpieza de desmonte y tierra acumulada en la berma central de la Av. Lima,Medio Ambiente,30,Media
Solicitud de regado y mantenimiento de áreas verdes del parque principal,Medio Ambiente,40,Baja
Reclamo por cobro excesivo o duplicado de arbitrios de limpieza pública,Rentas y Administración,25,Media
Simulacro municipal y capacitación de brigadas de Defensa Civil en Huancavelica,Defensa Civil,60,Baja
Consulta sobre descuentos y beneficios para el pronto pago de arbitrios,Rentas y Administración,39,Baja
Derrumbe parcial de vereda pública frente a la casa 520 de la calle Puno,Desarrollo Urbano,15,Alta
Actualización de datos de contribuyente y cambio de domicilio fiscal,Rentas y Administración,60,Baja
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,35,Media
Fiscalización de restaurante por condiciones insalubres y olores fuertes en La Unión,Licencias y Fiscalización,20,Alta
Solicitud de certificado catastral e información sobre zonificación de mi predio en Cuzco,Desarrollo Urbano,33,Baja
Acumulación de basura y residuos sólidos en la esquina del parque de la calle Grau,Medio Ambiente,10,Alta
Solicitud de alineamiento de predio y planos de zonificación,Desarrollo Urbano,60,Baja
Fiscalización de restaurante por condiciones insalubres y olores fuertes en Bolognesi,Licencias y Fiscalización,20,Alta
Licencia de habilitación urbana y subdivisión de lote multifamiliar,Desarrollo Urbano,45,Baja
Hueco en la calzada de la calle Grau que daña los vehículos,Desarrollo Urbano,25,Media
Cables eléctricos pelados y expuestos al aire libre frente a parque público,Defensa Civil,15,Alta
Solicitud de regado y mantenimiento de áreas verdes del parque principal,Medio Ambiente,50,Baja
Discoteca y bar clandestino abierto hasta altas horas de la madrugada en Grau,Licencias y Fiscalización,7,Alta
Limpieza de desmonte y tierra acumulada en la berma central de la Av. Lampa,Medio Ambiente,30,Media
Plaga de roedores en los jardines públicos cercanos a la calle Puno,Medio Ambiente,20,Alta
Local comercial opera sin licencia de funcionamiento ni medidas básicas,Licencias y Fiscalización,25,Media
Solicitud de evaluación de riesgos por filtración de agua que debilita bases de vivienda,Defensa Civil,35,Media
Solicitud de donación de plantones de árboles para campaña de arborización,Medio Ambiente,60,Baja
Licencia de habilitación urbana y subdivisión de lote multifamiliar,Desarrollo Urbano,50,Baja
Solicitud de alineamiento de predio y planos de zonificación,Desarrollo Urbano,65,Baja
Inspección técnica de seguridad en edificaciones ITSE de local comercial,Defensa Civil,45,Baja
Construcción clandestina vecinal que invade retiro municipal en Tarapacá,Desarrollo Urbano,15,Alta
Cables eléctricos pelados y expuestos al aire libre frente a parque público,Defensa Civil,14,Alta
Inspección técnica de seguridad en edificaciones ITSE de local comercial,Defensa Civil,50,Baja
Fiscalización de restaurante por condiciones insalubres y olores fuertes en Puno,Licencias y Fiscalización,15,Alta
Solicitud de estado de cuenta de arbitrios e impuesto predial,Rentas y Administración,45,Baja
Consulta sobre descuentos y beneficios para el pronto pago de arbitrios,Rentas y Administración,51,Baja
Pared agrietada de casona antigua con grave riesgo de colapso en el jirón Cuzco,Defensa Civil,12,Alta
Fraccionamiento de deuda tributaria de años anteriores de predio en Tarapacá,Rentas y Administración,45,Baja
Pared agrietada de casona antigua con grave riesgo de colapso en el jirón Lima,Defensa Civil,15,Alta
Local comercial opera sin licencia de funcionamiento ni medidas básicas,Licencias y Fiscalización,30,Media
Estructura metálica de cartel publicitario debilitada por el viento con riesgo de caída,Defensa Civil,14,Alta
Consulta sobre descuentos y beneficios para el pronto pago de arbitrios,Rentas y Administración,57,Baja
Limpieza de desmonte y tierra acumulada en la berma central de la Av. Cuzco,Medio Ambiente,35,Media
Local comercial opera sin licencia de funcionamiento ni medidas básicas,Licencias y Fiscalización,25,Media
Emisión de constancia de no adeudo tributario para transferencia de inmueble,Rentas y Administración,55,Baja
Fraccionamiento de deuda tributaria de años anteriores de predio en La Unión,Rentas y Administración,40,Baja
Plaga de roedores en los jardines públicos cercanos a la calle 28 de Julio,Medio Ambiente,10,Alta
Consulta sobre descuentos y beneficios para el pronto pago de arbitrios,Rentas y Administración,54,Baja
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,35,Media
Solicitud de donación de plantones de árboles para campaña de arborización,Medio Ambiente,55,Baja
Queja por ruidos molestos excesivos de la discoteca local en la Av. Lima,Licencias y Fiscalización,20,Alta
Cables eléctricos pelados y expuestos al aire libre frente a parque público,Defensa Civil,15,Alta
Solicitud de evaluación de riesgos por filtración de agua que debilita bases de vivienda,Defensa Civil,30,Media
Acumulación de basura y residuos sólidos en la esquina del parque de la calle Carabaya,Medio Ambiente,20,Alta
Consulta sobre descuentos y beneficios para el pronto pago de arbitrios,Rentas y Administración,38,Baja
Discoteca y bar clandestino abierto hasta altas horas de la madrugada en Lima,Licencias y Fiscalización,15,Alta
Fraccionamiento de deuda tributaria de años anteriores de predio en Grau,Rentas y Administración,50,Baja
Reclamo por cobro excesivo o duplicado de arbitrios de limpieza pública,Rentas y Administración,35,Media
Fraccionamiento de deuda tributaria de años anteriores de predio en 28 de Julio,Rentas y Administración,50,Baja
Discoteca y bar clandestino abierto hasta altas horas de la madrugada en Grau,Licencias y Fiscalización,7,Alta
Repavimentación y parchado de pista rota en el pasaje Tacna,Desarrollo Urbano,25,Media
Emisión de constancia de no adeudo tributario para transferencia de inmueble,Rentas y Administración,60,Baja
Vecino arroja agua sucia y desperdicios al jardín público de la Av. La Unión,Medio Ambiente,30,Media
Solicitud de estado de cuenta de arbitrios e impuesto predial,Rentas y Administración,40,Baja
Solicitud de regado y mantenimiento de áreas verdes del parque principal,Medio Ambiente,40,Baja
Plaga de roedores en los jardines públicos cercanos a la calle Cuzco,Medio Ambiente,20,Alta
Emisión de constancia de no adeudo tributario para transferencia de inmueble,Rentas y Administración,55,Baja
Repavimentación y parchado de pista rota en el pasaje Carabaya,Desarrollo Urbano,30,Media
Comercio informal y ambulantes obstruyendo la entrada en calle Puno,Licencias y Fiscalización,25,Media
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,35,Media
Hueco en la calzada de la calle Grau que daña los vehículos,Desarrollo Urbano,35,Media
Consulta sobre descuentos y beneficios para el pronto pago de arbitrios,Rentas y Administración,47,Baja
Inspección técnica de seguridad en edificaciones ITSE de local comercial,Defensa Civil,40,Baja
Reclamo por cobro excesivo o duplicado de arbitrios de limpieza pública,Rentas y Administración,25,Media
Acumulación de basura y residuos sólidos en la esquina del parque de la calle Junín,Medio Ambiente,10,Alta
Queja por ruidos molestos excesivos de la discoteca local en la Av. Tacna,Licencias y Fiscalización,15,Alta
Limpieza de desmonte y tierra acumulada en la berma central de la Av. Carabaya,Medio Ambiente,25,Media
Poda urgente de árbol cuyas ramas están enredadas en cables de alta tensión,Medio Ambiente,15,Alta
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,35,Media
Repavimentación y parchado de pista rota en el pasaje Junín,Desarrollo Urbano,25,Media
Error en el registro del autovalúo del predio ubicado en Grau número 703,Rentas y Administración,25,Media
Pago de impuesto de alcabala por compra de departamento en calle La Unión,Rentas y Administración,50,Baja
Hueco en la calzada de la calle Puno que daña los vehículos,Desarrollo Urbano,30,Media
Repavimentación y parchado de pista rota en el pasaje Junín,Desarrollo Urbano,35,Media
Construcción clandestina vecinal que invade retiro municipal en Huallaga,Desarrollo Urbano,5,Alta
Error en el registro del autovalúo del predio ubicado en Huancavelica número 326,Rentas y Administración,25,Media
Reclamo por cobro excesivo o duplicado de arbitrios de limpieza pública,Rentas y Administración,35,Media
Pago de impuesto de alcabala por compra de departamento en calle 28 de Julio,Rentas y Administración,40,Baja
Licencia de habilitación urbana y subdivisión de lote multifamiliar,Desarrollo Urbano,45,Baja
Solicitud de certificado catastral e información sobre zonificación de mi predio en Huancavelica,Desarrollo Urbano,38,Baja
Consulta sobre descuentos y beneficios para el pronto pago de arbitrios,Rentas y Administración,43,Baja
Solicitud de estado de cuenta de arbitrios e impuesto predial,Rentas y Administración,40,Baja
Solicitud de licencia de funcionamiento comercial para tienda de abarrotes,Licencias y Fiscalización,40,Baja
Reclamo por cobro excesivo o duplicado de arbitrios de limpieza pública,Rentas y Administración,30,Media
Estructura metálica de cartel publicitario debilitada por el viento con riesgo de caída,Defensa Civil,10,Alta
Actualización de datos de contribuyente y cambio de domicilio fiscal,Rentas y Administración,65,Baja
Cables eléctricos pelados y expuestos al aire libre frente a parque público,Defensa Civil,10,Alta
Reclamo por cobro excesivo o duplicado de arbitrios de limpieza pública,Rentas y Administración,25,Media
Hueco en la calzada de la calle La Unión que daña los vehículos,Desarrollo Urbano,35,Media
Solicitud de evaluación de riesgos por filtración de agua que debilita bases de vivienda,Defensa Civil,25,Media
Obstrucción de pasadizos de evacuación en galería comercial del jirón La Unión,Defensa Civil,10,Alta
Derrumbe parcial de vereda pública frente a la casa 416 de la calle Arequipa,Desarrollo Urbano,15,Alta
Local comercial opera sin licencia de funcionamiento ni medidas básicas,Licencias y Fiscalización,30,Media
Fiscalización de restaurante por condiciones insalubres y olores fuertes en Carabaya,Licencias y Fiscalización,15,Alta
Inspección técnica de seguridad en edificaciones ITSE de local comercial,Defensa Civil,45,Baja
Derrumbe parcial de vereda pública frente a la casa 423 de la calle 28 de Julio,Desarrollo Urbano,10,Alta
Pared agrietada de casona antigua con grave riesgo de colapso en el jirón La Unión,Defensa Civil,14,Alta
Error en el registro del autovalúo del predio ubicado en Tarapacá número 518,Rentas y Administración,35,Media
Pared agrietada de casona antigua con grave riesgo de colapso en el jirón Tarapacá,Defensa Civil,10,Alta
Solicitud de donación de plantones de árboles para campaña de arborización,Medio Ambiente,65,Baja
Derrumbe parcial de vereda pública frente a la casa 168 de la calle Huancavelica,Desarrollo Urbano,15,Alta
Solicitud de regado y mantenimiento de áreas verdes del parque principal,Medio Ambiente,45,Baja
Simulacro municipal y capacitación de brigadas de Defensa Civil en Huancavelica,Defensa Civil,65,Baja
Hueco en la calzada de la calle Arequipa que daña los vehículos,Desarrollo Urbano,25,Media
Fraccionamiento de deuda tributaria de años anteriores de predio en Huallaga,Rentas y Administración,45,Baja
Queja por ruidos molestos excesivos de la discoteca local en la Av. Puno,Licencias y Fiscalización,10,Alta
Construcción clandestina vecinal que invade retiro municipal en 28 de Julio,Desarrollo Urbano,14,Alta
Repavimentación y parchado de pista rota en el pasaje Lampa,Desarrollo Urbano,30,Media
Solicitud de alineamiento de predio y planos de zonificación,Desarrollo Urbano,60,Baja
Inspección técnica de seguridad en edificaciones ITSE de local comercial,Defensa Civil,50,Baja
Derrumbe parcial de vereda pública frente a la casa 306 de la calle 28 de Julio,Desarrollo Urbano,20,Alta
Actualización de datos de contribuyente y cambio de domicilio fiscal,Rentas y Administración,65,Baja
Licencia de habilitación urbana y subdivisión de lote multifamiliar,Desarrollo Urbano,45,Baja
Pago de impuesto de alcabala por compra de departamento en calle Huancavelica,Rentas y Administración,50,Baja
Error en el registro del autovalúo del predio ubicado en Grau número 606,Rentas y Administración,35,Media
Discoteca y bar clandestino abierto hasta altas horas de la madrugada en 28 de Julio,Licencias y Fiscalización,7,Alta
Simulacro municipal y capacitación de brigadas de Defensa Civil en Lampa,Defensa Civil,65,Baja
Acumulación de basura y residuos sólidos en la esquina del parque de la calle Tarapacá,Medio Ambiente,10,Alta
Queja por ruidos molestos excesivos de la discoteca local en la Av. Carabaya,Licencias y Fiscalización,15,Alta
Solicitud de licencia de funcionamiento comercial para tienda de abarrotes,Licencias y Fiscalización,40,Baja
Solicitud de regado y mantenimiento de áreas verdes del parque principal,Medio Ambiente,45,Baja
Construcción clandestina vecinal que invade retiro municipal en Lima,Desarrollo Urbano,10,Alta
Local comercial opera sin licencia de funcionamiento ni medidas básicas,Licencias y Fiscalización,25,Media
Pago de impuesto de alcabala por compra de departamento en calle Lima,Rentas y Administración,45,Baja
Solicitud de regado y mantenimiento de áreas verdes del parque principal,Medio Ambiente,50,Baja
Cables eléctricos pelados y expuestos al aire libre frente a parque público,Defensa Civil,7,Alta
Error en el registro del autovalúo del predio ubicado en Huallaga número 883,Rentas y Administración,35,Media
Derrumbe parcial de vereda pública frente a la casa 798 de la calle Cuzco,Desarrollo Urbano,10,Alta
Solicitud de evaluación de riesgos por filtración de agua que debilita bases de vivienda,Defensa Civil,25,Media
Pago de impuesto de alcabala por compra de departamento en calle Huallaga,Rentas y Administración,50,Baja
Obstrucción de pasadizos de evacuación en galería comercial del jirón Tacna,Defensa Civil,15,Alta
Derrumbe parcial de vereda pública frente a la casa 615 de la calle Grau,Desarrollo Urbano,20,Alta
Hueco en la calzada de la calle Tacna que daña los vehículos,Desarrollo Urbano,30,Media
Solicitud de evaluación de riesgos por filtración de agua que debilita bases de vivienda,Defensa Civil,30,Media
Bache enorme y peligroso en la pista de la Av. Larco cuadra 643,Desarrollo Urbano,8,Alta
Construcción clandestina vecinal que invade retiro municipal en Huancavelica,Desarrollo Urbano,8,Alta
Error en el registro del autovalúo del predio ubicado en La Unión número 637,Rentas y Administración,30,Media
Fiscalización de restaurante por condiciones insalubres y olores fuertes en Huallaga,Licencias y Fiscalización,10,Alta
Obstrucción de pasadizos de evacuación en galería comercial del jirón Grau,Defensa Civil,10,Alta
Derrumbe parcial de vereda pública frente a la casa 175 de la calle Puno,Desarrollo Urbano,15,Alta
Bache enorme y peligroso en la pista de la Av. Larco cuadra 158,Desarrollo Urbano,11,Alta
Pago de impuesto de alcabala por compra de departamento en calle Grau,Rentas y Administración,50,Baja
Error en el registro del autovalúo del predio ubicado en 28 de Julio número 363,Rentas y Administración,30,Media
Bache enorme y peligroso en la pista de la Av. Larco cuadra 926,Desarrollo Urbano,5,Alta
Solicitud de licencia de funcionamiento comercial para tienda de abarrotes,Licencias y Fiscalización,40,Baja
Solicitud de licencia de funcionamiento comercial para tienda de abarrotes,Licencias y Fiscalización,45,Baja
Inspección técnica de seguridad en edificaciones ITSE de local comercial,Defensa Civil,40,Baja
Emisión de constancia de no adeudo tributario para transferencia de inmueble,Rentas y Administración,65,Baja
Simulacro municipal y capacitación de brigadas de Defensa Civil en Huallaga,Defensa Civil,60,Baja
Pago de impuesto de alcabala por compra de departamento en calle Grau,Rentas y Administración,45,Baja
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,30,Media
Local comercial opera sin licencia de funcionamiento ni medidas básicas,Licencias y Fiscalización,35,Media
Comercio informal y ambulantes obstruyendo la entrada en calle Cuzco,Licencias y Fiscalización,25,Media
Limpieza de desmonte y tierra acumulada en la berma central de la Av. Carabaya,Medio Ambiente,35,Media
Error en el registro del autovalúo del predio ubicado en Carabaya número 766,Rentas y Administración,25,Media
Acumulación de basura y residuos sólidos en la esquina del parque de la calle Junín,Medio Ambiente,10,Alta
Instalación de letrero publicitario comercial sin autorización municipal,Licencias y Fiscalización,65,Baja
Solicitud de donación de plantones de árboles para campaña de arborización,Medio Ambiente,65,Baja
Solicitud de regado y mantenimiento de áreas verdes del parque principal,Medio Ambiente,45,Baja
Bache enorme y peligroso en la pista de la Av. Larco cuadra 117,Desarrollo Urbano,15,Alta
Comercio informal y ambulantes obstruyendo la entrada en calle Lampa,Licencias y Fiscalización,35,Media
Árbol seco y carcomido a punto de caer sobre la vereda frente al número 970,Medio Ambiente,8,Alta
Emisión de constancia de no adeudo tributario para transferencia de inmueble,Rentas y Administración,65,Baja
Solicitud de regado y mantenimiento de áreas verdes del parque principal,Medio Ambiente,45,Baja
Emisión de constancia de no adeudo tributario para transferencia de inmueble,Rentas y Administración,60,Baja
Pago de impuesto de alcabala por compra de departamento en calle Tacna,Rentas y Administración,45,Baja
Local comercial opera sin licencia de funcionamiento ni medidas básicas,Licencias y Fiscalización,35,Media
Error en el registro del autovalúo del predio ubicado en San Martín número 238,Rentas y Administración,30,Media
Consulta sobre descuentos y beneficios para el pronto pago de arbitrios,Rentas y Administración,58,Baja
Comercio informal y ambulantes obstruyendo la entrada en calle Tarapacá,Licencias y Fiscalización,25,Media
Simulacro municipal y capacitación de brigadas de Defensa Civil en 28 de Julio,Defensa Civil,60,Baja
Repavimentación y parchado de pista rota en el pasaje Carabaya,Desarrollo Urbano,30,Media
Local comercial opera sin licencia de funcionamiento ni medidas básicas,Licencias y Fiscalización,25,Media
Construcción clandestina vecinal que invade retiro municipal en Bolognesi,Desarrollo Urbano,10,Alta
Solicitud de alineamiento de predio y planos de zonificación,Desarrollo Urbano,60,Baja
Inspección técnica de seguridad en edificaciones ITSE de local comercial,Defensa Civil,40,Baja
Solicitud de estado de cuenta de arbitrios e impuesto predial,Rentas y Administración,40,Baja
Solicitud de donación de plantones de árboles para campaña de arborización,Medio Ambiente,55,Baja
Estructura metálica de cartel publicitario debilitada por el viento con riesgo de caída,Defensa Civil,8,Alta
Bache enorme y peligroso en la pista de la Av. Larco cuadra 908,Desarrollo Urbano,12,Alta
Acumulación de basura y residuos sólidos en la esquina del parque de la calle La Unión,Medio Ambiente,15,Alta
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,30,Media
Solicitud de certificado catastral e información sobre zonificación de mi predio en La Unión,Desarrollo Urbano,59,Baja
Poda urgente de árbol cuyas ramas están enredadas en cables de alta tensión,Medio Ambiente,11,Alta
Acumulación de basura y residuos sólidos en la esquina del parque de la calle Lampa,Medio Ambiente,10,Alta
Limpieza de desmonte y tierra acumulada en la berma central de la Av. Huallaga,Medio Ambiente,25,Media
Construcción clandestina vecinal que invade retiro municipal en San Martín,Desarrollo Urbano,8,Alta
Poda urgente de árbol cuyas ramas están enredadas en cables de alta tensión,Medio Ambiente,11,Alta
Comercio informal y ambulantes obstruyendo la entrada en calle Tarapacá,Licencias y Fiscalización,35,Media
Actualización de datos de contribuyente y cambio de domicilio fiscal,Rentas y Administración,55,Baja
Pago de impuesto de alcabala por compra de departamento en calle Tarapacá,Rentas y Administración,50,Baja
Simulacro municipal y capacitación de brigadas de Defensa Civil en Puno,Defensa Civil,65,Baja
Actualización de datos de contribuyente y cambio de domicilio fiscal,Rentas y Administración,55,Baja
Derrumbe parcial de vereda pública frente a la casa 212 de la calle Huallaga,Desarrollo Urbano,15,Alta
Bache enorme y peligroso en la pista de la Av. Larco cuadra 578,Desarrollo Urbano,5,Alta
Hueco en la calzada de la calle Bolognesi que daña los vehículos,Desarrollo Urbano,35,Media
Fiscalización de restaurante por condiciones insalubres y olores fuertes en Puno,Licencias y Fiscalización,20,Alta
Hueco en la calzada de la calle Carabaya que daña los vehículos,Desarrollo Urbano,35,Media
Construcción clandestina vecinal que invade retiro municipal en Cuzco,Desarrollo Urbano,13,Alta
Solicitud de evaluación de riesgos por filtración de agua que debilita bases de vivienda,Defensa Civil,30,Media
Cables eléctricos pelados y expuestos al aire libre frente a parque público,Defensa Civil,13,Alta
